Team,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,CPP,RPP,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,Def
Angels,2251,1458,13344,4448,1482,83,37,46,314,129,96,129,38,106,39,5,74,0.986,,-2,3,-4,2,-10,-16,2219,1844,0.831,431,74,-4.3,,15,-5.3,5.1,13.8,12.4,26,3,23.6
Astros,2036,1458,12948,4316,1704,106,69,36,373,151,112,151,38,109,32,14,57,0.983,,-3,2,-1,11,-13,-16,2166,1712,0.79,643,82,0,,-25,-12.3,0.4,-30.8,-21.3,-63.9,-12.3,-74
Athletics,2167,1458,13170,4390,1634,111,55,56,382,152,130,152,42,100,28,10,59,0.982,,-4,-3,9,9,25,32,2210,1849,0.837,483,65,-3.6,,7,-1.8,-2.6,37.1,-8.4,24.3,2.7,13.7
BlueJays,2224,1458,12987,4329,1528,87,41,45,319,131,101,131,37,94,24,18,43,0.985,,-3,1,12,3,-42,-31,2255,1847,0.819,489,91,4.9,,-35,8.3,-1.3,-14.1,0.4,-6.8,0.3,-8.8
Braves,2043,1458,13095,4365,1527,85,49,36,362,145,117,147,29,100,29,18,75,0.986,,-2,4,0,-5,19,19,2157,1738,0.806,498,82,-6.2,,-6,-1.4,4.6,30.3,1.1,34.6,4.6,29.4
Brewers,2138,1458,13119,4373,1602,99,48,50,312,132,102,132,41,96,35,7,44,0.984,,0,-8,-6,1,5,-5,2253,1835,0.815,499,94,8.4,,12,-6,-6,20.5,-5.2,3.4,-1.1,10.8
Cardinals,2163,1458,13038,4346,1617,88,53,34,375,146,120,147,38,54,29,7,44,0.986,,0,6,-3,-7,58,64,2109,1736,0.823,493,59,0,,-7,-9.5,6.1,33,-1.2,28.5,3,30.5
Cubs,2174,1458,13170,4390,1668,103,55,46,318,137,100,137,48,114,38,13,64,0.983,,2,1,-10,-4,-2,-22,2219,1829,0.824,426,97,1.9,,-16,-5.1,2.5,3.9,-6.8,-5.5,-1.3,-4.6
Diamondbacks,2035,1458,12999,4333,1645,101,51,49,341,149,109,149,39,75,34,6,50,0.983,,-3,1,8,-3,20,21,2152,1764,0.82,484,70,1.3,,22,9.6,1.5,-20,4.4,-4.4,1,-5.1
Dodgers,2197,1458,13182,4394,1707,107,60,45,354,145,106,145,37,86,38,12,64,0.983,,2,4,9,-7,19,26,2194,1821,0.83,391,72,-4,,-3,6.3,2.3,-10.2,-6.7,-8.3,0.3,-8.3
